3.0,4.0,7.0,9.0,
0.25,0.5,0.25,0.5,
Generation,BeakSize
0,6.058799170804706
0,5.377132792947814
0,5.163249480170693
0,5.725111657894835
0,6.600334574381158
0,6.153210647238751
0,6.280421315551744
0,6.54484793289714
0,6.1755004385536365
0,5.835305018945207
0,5.015641066497097
0,5.8456668802444165
0,4.88741961511501
0,6.014598038657677
0,6.631602779823568
0,5.815655626354162
0,5.825834500809272
0,5.635982206893179
0,6.327398502972372
0,6.075950608585997
0,5.526741883873748
0,5.765330698589975
0,5.229014413045158
0,5.709255005845544
0,6.55043392488608
0,6.114253627012937
0,6.493347515974486
0,5.77312257331765
0,5.252757139370079
0,5.285386377431531
0,5.382366588615651
0,7.117469285735927
0,6.112199366136029
0,5.61994013204747
0,5.531452665848577
0,5.845442961449484
0,5.243175596166751
0,5.15688476129552
0,6.07088828861808
0,6.349330696160749
1,6.631602779823568
1,6.493347515974486
1,6.349330696160749
1,6.54484793289714
1,6.600334574381158
1,7.117469285735927
1,6.327398502972372
1,5.015641066497097
1,5.15688476129552
1,5.531452665848577
1,5.163249480170693
1,6.55043392488608
1,5.285386377431531
1,5.252757139370079
1,6.280421315551744
1,6.1755004385536365
1,6.415241780028271
1,5.376407882122769
1,5.720971240921385
1,6.100539456281387
1,5.341539660887875
1,6.44703197751729
2,5.163249480170693
2,6.600334574381158
2,6.327398502972372
2,5.285386377431531
2,6.280421315551744
2,6.55043392488608
2,6.54484793289714
2,6.415241780028271
2,5.341539660887875
2,5.531452665848577
2,6.1755004385536365
2,6.44703197751729
2,5.720971240921385
2,6.493347515974486
2,4.802016888675414
2,5.399142287055933
2,4.996353224075824
2,6.304039955358279
2,6.4289636328268545
2,6.54251779850564
2,6.138031906468726
3,6.493347515974486
3,6.327398502972372
3,6.54251779850564
3,5.399142287055933
3,5.720971240921385
3,6.138031906468726
3,6.600334574381158
3,4.996353224075824
3,6.1755004385536365
3,6.304039955358279
3,6.54484793289714
3,6.415241780028271
3,6.55043392488608
3,6.4289636328268545
3,5.2780423247237716
3,6.2066470682109705
3,7.298259458799995
3,4.279370143802621
3,6.57449972843064
3,6.333835826424729
4,6.415241780028271
4,6.2066470682109705
4,4.279370143802621
4,5.399142287055933
4,6.138031906468726
4,6.54484793289714
4,6.600334574381158
4,6.57449972843064
4,6.333835826424729
4,6.54251779850564
4,5.2780423247237716
4,5.720971240921385
4,7.298259458799995
4,6.304039955358279
4,4.996353224075824
4,6.327398502972372
4,6.4289636328268545
4,4.801180802181657
4,5.392378358913076
4,6.5808861325428545
4,6.554540574590661
4,6.478330934438312
4,6.819698911864366
4,6.313707660814042
5,6.333835826424729
5,4.996353224075824
5,6.304039955358279
5,6.57449972843064
5,6.2066470682109705
5,6.554540574590661
5,5.2780423247237716
5,6.313707660814042
5,5.399142287055933
5,6.138031906468726
5,6.54251779850564
5,6.5808861325428545
5,4.279370143802621
5,6.819698911864366
5,5.392378358913076
5,6.478330934438312
5,7.298259458799995
5,4.801180802181657
5,5.646057373740228
5,5.198875830171958
5,4.7706401992713285
5,4.476253424629336
5,5.515939703784654
5,5.947103832981896
5,5.230989619257821
5,7.174829889363322
5,4.228038562884094
5,4.847222224864674
5,4.359751162464828
6,6.313707660814042
6,4.359751162464828
6,5.947103832981896
6,6.554540574590661
6,5.198875830171958
6,6.478330934438312
6,5.230989619257821
6,5.392378358913076
6,6.333835826424729
6,4.228038562884094
6,7.174829889363322
6,4.7706401992713285
6,7.298259458799995
6,4.476253424629336
6,4.801180802181657
6,4.847222224864674
6,6.819698911864366
6,4.279370143802621
6,6.5808861325428545
6,5.2780423247237716
6,6.57449972843064
6,6.659000901277941
6,6.233707998501783
6,4.6500836510130625
6,5.112703809828862
6,5.975083133494643
6,4.637291475640449
6,7.523001305870213
6,6.099207309647592
6,4.46146282675014
6,5.478479714437946
6,6.3405417629477565
6,5.45770642383693
6,6.161312431418668
6,6.771347940032855
7,4.359751162464828
7,5.975083133494643
7,5.947103832981896
7,6.659000901277941
7,4.637291475640449
7,4.7706401992713285
7,4.228038562884094
7,7.523001305870213
7,6.099207309647592
7,4.847222224864674
7,6.771347940032855
7,6.313707660814042
7,7.174829889363322
7,4.46146282675014
7,6.819698911864366
7,6.233707998501783
7,6.5808861325428545
7,4.801180802181657
7,6.161312431418668
7,4.6500836510130625
7,6.478330934438312
7,6.3405417629477565
7,4.476253424629336
7,5.198875830171958
7,6.605943856135025
7,6.181582809804528
7,6.594819052330895
7,4.560683244346137
7,4.904601118562057
7,5.830964922746124
7,6.393727885020616
7,3.8210998452292
7,7.206711536217117
7,6.431039134425599
7,7.570679227714224
7,4.874634964515838
7,7.355925150808079
7,5.2538678010357796
7,6.536602098291138
7,5.517454872476325
7,4.98903242055466
8,4.560683244346137
8,6.233707998501783
8,4.476253424629336
8,4.637291475640449
8,7.355925150808079
8,4.6500836510130625
8,4.874634964515838
8,7.523001305870213
8,6.659000901277941
8,4.7706401992713285
8,7.174829889363322
8,7.206711536217117
8,6.771347940032855
8,4.359751162464828
8,7.570679227714224
8,4.98903242055466
8,6.161312431418668
8,4.46146282675014
8,6.594819052330895
8,5.2538678010357796
8,4.904601118562057
8,5.830964922746124
8,4.228038562884094
8,4.1565348118725165
8,6.73740403487167
8,4.225819866470344
8,4.367868228403577
8,4.215314786405953
8,7.191702027308979
8,7.312363018559626
8,7.282839433392685
8,7.883529966011872
8,6.99747316075103
8,7.4646763281676485
8,6.677921925091432
8,5.047201084162567
8,6.324189036133852
9,6.771347940032855
9,7.191702027308979
9,4.367868228403577
9,7.355925150808079
9,5.2538678010357796
9,4.637291475640449
9,4.874634964515838
9,6.99747316075103
9,4.6500836510130625
9,4.560683244346137
9,4.225819866470344
9,6.73740403487167
9,7.206711536217117
9,6.233707998501783
9,4.1565348118725165
9,7.883529966011872
9,6.324189036133852
9,7.282839433392685
9,7.4646763281676485
9,5.830964922746124
9,6.659000901277941
9,4.215314786405953
9,5.047201084162567
9,7.570679227714224
9,6.677921925091432
9,4.98903242055466
9,4.904601118562057
9,6.594819052330895
9,7.523001305870213
9,7.312363018559626
9,7.745900042765093
9,3.8935134440578287
9,4.560443539343704
9,4.866272101763659
9,4.514630665091937
9,7.638419675608164
9,6.686631585811494
9,7.418668530673547
9,6.55495941543057
9,7.044573347545679
9,6.212776596977064
9,7.1164296266280855
9,3.6554845111670358
9,7.171858938316558
9,6.87680024950593
9,4.719220948411081
9,7.206925896204526
10,7.883529966011872
10,4.560683244346137
10,4.874634964515838
10,6.99747316075103
10,4.514630665091937
10,7.570679227714224
10,7.418668530673547
10,4.225819866470344
10,4.1565348118725165
10,6.212776596977064
10,3.6554845111670358
10,4.215314786405953
