4.0,8.0,
0.5,0.5,
Generation,BeakSize
0,6.44999610180828
0,6.289161175091336
0,6.7547738586593
0,5.637966160694023
0,5.656561825986037
0,6.367498884062299
0,3.9588810020576286
0,5.602969945443053
0,5.683938677410441
0,5.921998501476451
0,6.05854251888775
0,6.507404792828742
0,5.382642584121472
0,5.657707532799478
0,5.968969358489007
0,4.869265847888794
0,5.7185217090648
0,6.294823849598258
0,5.3289185978643525
0,5.757403146875587
0,5.5400284911535875
0,5.863957362470496
0,5.5680198463964965
0,6.458971627843245
0,5.706655378710517
0,7.107102368272454
0,5.73490524312882
0,5.864227711495615
0,5.611424264277114
0,6.141999492825211
0,5.9065125317577065
0,5.523032650708966
0,5.612955690449715
0,5.0412085949420415
0,6.611737423980495
0,5.7110894659034255
0,5.446563712908091
0,5.449922011269349
0,5.684379504038277
0,6.052945351818517
1,5.382642584121472
1,5.3289185978643525
1,7.107102368272454
1,6.7547738586593
1,6.507404792828742
1,6.458971627843245
1,5.449922011269349
1,3.9588810020576286
1,6.611737423980495
1,6.289161175091336
1,6.44999610180828
1,5.0412085949420415
1,4.869265847888794
1,4.863783811279603
1,6.414809235099625
1,6.742833999350429
1,6.625594115216076
1,5.905936258910479
1,5.278405440787319
2,5.905936258910479
2,6.611737423980495
2,6.507404792828742
2,7.107102368272454
2,5.382642584121472
2,5.0412085949420415
2,6.742833999350429
2,6.625594115216076
2,3.9588810020576286
2,6.7547738586593
2,5.3289185978643525
2,6.414809235099625
2,5.278405440787319
2,4.863783811279603
2,6.71026882197676
2,6.515138376761878
2,5.111521957122033
2,6.023498906929125
2,5.1723517605665545
2,5.328563754300723
3,3.9588810020576286
3,6.71026882197676
3,6.414809235099625
3,5.328563754300723
3,6.7547738586593
3,4.863783811279603
3,6.515138376761878
3,5.0412085949420415
3,6.507404792828742
3,6.611737423980495
3,6.625594115216076
3,6.742833999350429
3,5.111521957122033
3,5.278405440787319
3,5.1723517605665545
3,5.138985477113363
3,6.216427005802092
3,4.929830377087442
3,4.923610409028218
3,6.462406370053099
3,5.307561631447296
3,6.8230576052802725
3,4.949630022079908
4,5.328563754300723
4,6.8230576052802725
4,6.625594115216076
4,5.111521957122033
4,5.138985477113363
4,6.414809235099625
4,6.7547738586593
4,6.742833999350429
4,5.0412085949420415
4,5.1723517605665545
4,6.71026882197676
4,5.307561631447296
4,4.929830377087442
4,5.278405440787319
4,6.507404792828742
4,6.515138376761878
4,4.949630022079908
4,4.863783811279603
4,4.923610409028218
4,4.920053725058215
4,6.858124329646482
4,6.3277151496244075
4,4.8096226985074235
4,6.522239864347904
4,4.623022584669969
4,4.757069397552908
4,4.602602526265886
4,4.5776358741808885
5,5.307561631447296
5,4.923610409028218
5,5.1723517605665545
5,5.138985477113363
5,5.328563754300723
5,6.522239864347904
5,6.71026882197676
5,6.858124329646482
5,4.623022584669969
5,4.949630022079908
5,4.602602526265886
5,5.111521957122033
5,4.5776358741808885
5,4.757069397552908
5,4.929830377087442
5,6.8230576052802725
5,4.8096226985074235
5,4.920053725058215
5,5.221933259907495
5,5.034433166933792
5,6.177357523260481
5,4.9364384277072455
5,6.338208442735418
5,4.45172668596306
5,4.584068289101181
5,4.986564609290958
5,6.912763502326213
5,5.1122701646213
5,4.757477606974602
5,4.848171926589475
6,4.920053725058215
6,5.138985477113363
6,6.338208442735418
6,6.522239864347904
6,4.949630022079908
6,4.848171926589475
6,4.929830377087442
6,4.45172668596306
6,4.9364384277072455
6,4.923610409028218
6,5.034433166933792
6,6.177357523260481
